Developer,Release,Commits
michael-small,20.0.0-next.2,1
hawkgs,19.2.3,37
hawkgs,19.2.0-rc.0,32
hawkgs,19.2.1,37
hawkgs,19.2.2,37
hawkgs,20.0.0-next.1,42
hawkgs,20.0.0-next.3,42
hawkgs,19.2.0,35
hawkgs,19.1.8,32
hawkgs,20.0.0-next.0,39
hawkgs,20.0.0-next.2,42
hawkgs,19.1.3,24
hawkgs,19.1.6,27
hawkgs,19.1.7,29
hawkgs,19.1.5,27
hawkgs,19.2.0-next.2,28
hawkgs,19.2.0-next.1,28
hawkgs,19.2.0-next.3,31
hawkgs,19.1.4,27
hawkgs,19.2.0-next.0,25
hawkgs,19.1.2,24
Lang,19.2.3,9
Lang,19.2.0-rc.0,5
Lang,19.2.1,9
Lang,19.2.2,9
Lang,20.0.0-next.1,9
Lang,20.0.0-next.3,9
Lang,19.2.0,5
Lang,19.1.8,5
Lang,20.0.0-next.0,5
Lang,20.0.0-next.2,9
Lang,19.1.3,5
Lang,19.1.6,5
Lang,19.1.7,5
Lang,19.1.5,5
Lang,19.2.0-next.2,5
Lang,19.2.0-next.1,5
Lang,19.2.0-next.3,5
Lang,19.1.4,5
Lang,19.2.0-next.0,5
Lang,19.1.2,5
vladboisa,19.2.3,18
vladboisa,19.2.0-rc.0,17
vladboisa,19.2.1,18
vladboisa,19.2.2,18
vladboisa,20.0.0-next.1,18
vladboisa,20.0.0-next.3,18
vladboisa,19.2.0,17
vladboisa,19.1.8,17
vladboisa,20.0.0-next.0,17
vladboisa,20.0.0-next.2,18
vladboisa,19.1.3,17
vladboisa,19.1.6,17
vladboisa,19.1.7,17
vladboisa,19.1.5,17
vladboisa,19.2.0-next.2,17
vladboisa,19.2.0-next.1,17
vladboisa,19.2.0-next.3,17
vladboisa,19.1.4,17
vladboisa,19.2.0-next.0,17
vladboisa,19.1.2,17
Hakeem,19.2.3,6
Hakeem,19.2.0-rc.0,4
Hakeem,19.2.1,6
Hakeem,19.2.2,6
Hakeem,20.0.0-next.1,6
Hakeem,20.0.0-next.3,6
Hakeem,19.2.0,4
Hakeem,19.1.8,4
Hakeem,20.0.0-next.0,4
Hakeem,20.0.0-next.2,6
Hakeem,19.1.3,4
Hakeem,19.1.6,4
Hakeem,19.1.7,4
Hakeem,19.1.5,4
Hakeem,19.2.0-next.2,4
Hakeem,19.2.0-next.1,4
Hakeem,19.2.0-next.3,4
Hakeem,19.1.4,4
Hakeem,19.2.0-next.0,4
Hakeem,19.1.2,4
ColinJolivet,19.2.3,2
ColinJolivet,19.2.0-rc.0,1
